Name,Country,Discipline,Event
HERRANZ MARTIN Miguel Angel,Spain,Taekwondo,
RAMAL MUNOZ Jesus,Spain,Taekwondo,
SEIJO GIEBELS Christian Jaime,Spain,Taekwondo,
TOLEDO AROCA Antonio,Spain,Taekwondo,
YAGUE ENRIQUE Brigida,Spain,Taekwondo,
JONES Gilmar,Suriname,Taekwondo,
DIMITROVA Vesela,Bulgaria,Rhythmic Gymnastics,
STOYNEVA Yasena,Bulgaria,Rhythmic Gymnastics,
MARKOVA Branimira,Bulgaria,Rhythmic Gymnastics,
PAMUKOVA Mariyana,Bulgaria,Rhythmic Gymnastics,
IVANOVA Valentina,Bulgaria,Rhythmic Gymnastics,
LEE Eui Yong,Gambia,Taekwondo,
ARILL Samuel,Puerto Rico,Basketball,Women
MORALES OTERO Carlos,Puerto Rico,Basketball,Women
BATISTA Gerardo,Puerto Rico,Basketball,Women
COTUTIU Florin,Romania,Artistic Gymnastics,
JONES Daymon,Romania,Artistic Gymnastics,
KIENS Patrick,Romania,Artistic Gymnastics,
MOROSAN Corina,Romania,Artistic Gymnastics,
VOINEA Camelia,Romania,Artistic Gymnastics,
BERBECAR Marius,Romania,Artistic Gymnastics,
LIU Tsung-Ta,Chinese Taipei,Taekwondo,
GEORGALLAS Irodotos,Cyprus,Artistic Gymnastics,
PETRIDIS Panagiotis,Cyprus,Artistic Gymnastics,
FLANNERY Eimear,Ireland,Rugby Sevens,Men
SHIPPI Panayiotis,Cyprus,Artistic Gymnastics,
TRIKOMITI Chrystalleni,Cyprus,Rhythmic Gymnastics,
DEACU George,Romania,Water Polo,Men
RATH Bogdan,Romania,Water Polo,Men
ARIAS Ramon,Chile,Taekwondo,
WIBERG Johanna,Sweden,Handball,Women
FORSBERG Thomas,Sweden,Handball,Women
AXNER Tomas,Sweden,Handball,Women
DIOVOL Alioune,Senegal,Taekwondo,
da ROCHA Cristiano,Brazil,Handball,Women
ALTENBURG Valentin,Germany,Hockey,
HENNING Andre,Germany,Hockey,
SCHMITZ Johannes,Germany,Hockey,
ARKELL Robin,Germany,Hockey,
GADEMAN Pasha,Germany,Hockey,
WEIDINGER Markus,Austria,Taekwondo,
SOLBERG Glenn,Sweden,Handball,Men
SVENSSON Tomas,Sweden,Handball,Men
APELGREN Michael,Sweden,Handball,Men
TANKOUCHEV Milko,Bulgaria,Artistic Gymnastics,
YANEV Filip,Bulgaria,Artistic Gymnastics,
WINIARSKI Michal,Germany,Volleyball,Men
RANNER Thomas,Germany,Volleyball,Men
