Name,Country,Discipline,Event
CARRASCAL RUBIO Alvaro,Spain,Artistic Gymnastics,
CASIMIRO ROS Javier,Spain,Artistic Gymnastics,
GUISADO MUNOZ Lucia,Spain,Artistic Gymnastics,
MARTINEZ SANCHEZ Manuel Angel,Spain,Artistic Gymnastics,
MIR HOMAR Pedro,Spain,Artistic Gymnastics,
RUEDA BRAVO Eva,Spain,Artistic Gymnastics,
SAN JOSE CRISTOBAL Almudena,Spain,Artistic Gymnastics,
BROWN LOPEZ Dagmara,Spain,Rhythmic Gymnastics,
FERRANDEZ ARENAS Monica,Spain,Rhythmic Gymnastics,
GARCIA GARCES Maria,Spain,Rhythmic Gymnastics,
LINARES GARCIA Marta,Spain,Rhythmic Gymnastics,
MALCHAIR SELECQUE Caroline Martine,Spain,Rhythmic Gymnastics,
PELAZ MOTA Ana,Spain,Rhythmic Gymnastics,
QUEREDA FLORES Alejandra,Spain,Rhythmic Gymnastics,
KASSMAN Edward,Papua New Guinea,Taekwondo,
PABLO Jose,Angola,Handball,Women
FERREIRINHA Jose,Portugal,Artistic Gymnastics,
CAPORN Adam,Australia,Basketball,
GOORJIAN Brian,Australia,Basketball,Men
CHAMBERS Cheryl,Australia,Basketball,Women
PATRICK David,Australia,Basketball,
NIELSEN Matt,Australia,Basketball,Men
GORISS Paul,Australia,Basketball,
CARROLL Ryan,Australia,Basketball,
BRONDELLO Sandy,Australia,Basketball,Women
SEEBHOM Shannon,Australia,Basketball,
PYSMENNA Oksana,Korea,Artistic Swimming,Duet
CHOI Jungyeol,Korea,Artistic Gymnastics,
KIM Daeeun,Korea,Artistic Gymnastics,
KIM Jihoon,Korea,Artistic Gymnastics,
LEE Sunsung,Korea,Artistic Gymnastics,
MIN Ayoung,Korea,Artistic Gymnastics,
CSEH Sandor Viktor,Hungary,Water Polo,Women
MUNALA Japheth,Kenya,Volleyball,Women
BARASA James,Kenya,Volleyball,Women
MIHOK Attila,Hungary,Water Polo,Women
TORTOSA Hugo,Lesotho,Taekwondo,
TOPARI Yusuf,Australia,Artistic Gymnastics,
MITCHELL Katie,Australia,Rhythmic Gymnastics,
BARABACH Mikhail,Australia,Artistic Gymnastics,
WILSON Sean,Australia,Artistic Gymnastics,
BELAN Tatsiana,Australia,Rhythmic Gymnastics,
LI Xiaoqing,Australia,Artistic Gymnastics,
DOUMBIA Bounafou,Mali,Football,
BARRETO Diego,Paraguay,Football,
DENIA Santi,Spain,Football,Men
GORDO David,Spain,Football,
MARTINEZ Ruben,Spain,Football,
ZIMMERMANN Matthieu,Belgium,Artistic Gymnastics,
EHREN Raoul,Belgium,Hockey,
McLEOD Shane,Belgium,Hockey,Men
GAMBLUCH Leonardo,Belgium,Taekwondo,
VARGA Zsolt,Hungary,Water Polo,Men
UGLESSICH Mariano,Paraguay,Football,
HAYES Emma,United States,Football,Women
REDDY Denise,United States,Football,Women
SEARLE Stuart,United States,Football,Women
JARA SAGUIER Carlos,Paraguay,Football,Men
COVELO Alex,United States,Football,Men
MITROVIC Marko,United States,Football,Men
PAYNE Russell,United States,Football,Men
SEGARES Gonzalo,United States,Football,Men
MAYNE Michael,New Zealand,Football,Women
REED Duncan,New Zealand,Football,
BAZELEY Darren,New Zealand,Football,Men
GOTHARD Paul,New Zealand,Football,Men
READINGS Tony,New Zealand,Football,Men
ELLIOTT Simon,New Zealand,Football,Men
SARVER Keri,New Zealand,Football,
POTTER Anthony,Australia,Hockey,
BATCH Colin,Australia,Hockey,
STANIFORTH Dave,Australia,Hockey,
MURRAY Emma,Australia,Hockey,Women
PURVIS Hugh,Australia,Hockey,
DAVY Jeremy,Australia,Hockey,
POWELL Katrina,Australia,Hockey,
HAMMOND Rob,Australia,Hockey,
LU Xiaohui,China,Rugby Sevens,
ZHU Jiangtao,China,Rugby Sevens,
MA Chong,China,Rugby Sevens,
ZHU Jing,China,Rugby Sevens,
CARNELI Ryan,Australia,Taekwondo,
LEE Seokhun,Australia,Taekwondo,
MACCARANI Emanuela,Italy,Rhythmic Gymnastics,
ROVETTA Valentina,Italy,Rhythmic Gymnastics,
MANCINELLI Claudia,Italy,Rhythmic Gymnastics,
ABDULLAYEV Mammad,Azerbaijan,Taekwondo,
RADONIC Vesna,Montenegro,Rhythmic Gymnastics,
YANITSAS Andrew,Australia,Water Polo,Men
DENIS Eddie,Australia,Water Polo,Women
RIPPON Bec,Australia,Water Polo,Women
WOODS Taryn,Australia,Water Polo,Women
HAMILL Tim,Australia,Water Polo,Men
SULTANOV Yesbol,Tunisia,Taekwondo,
HECHMI Jendoubi,Tunisia,Taekwondo,
MARTIN CEDRES Ambrosio Jose,Spain,Handball,Women
MONTES AGUERA Cesar Jesus,Spain,Handball,Men
PRADES PONS Jose Ignacio,Spain,Handball,Women
RIBERA ROMANS Jordi,Spain,Handball,Men
JAKOVLJEVIC Nenad,Serbia,Basketball,
KOSTIC Oliver,Serbia,Basketball,Men
MARINOVIC Marko,Serbia,Basketball,
PESIC Svetislav,Serbia,Basketball,Men
STOJAKOVIC Ognjen,Serbia,Basketball,
SEKULIC Marko,Serbia,Basketball,
BUTULIJA Dajana,Serbia,Basketball,
DRLJACA Ljubica,Serbia,Basketball,Women
MALJKOVIC Marina,Serbia,Basketball,Women
PAGE Danielle Nicole,Serbia,Basketball,
BEATTIE Ciaran,Great Britain,Rugby Sevens,Women
NOLAN James,Great Britain,Rugby Sevens,Women
PUGH Richie,Great Britain,Rugby Sevens,
RIDDELL Scott,Great Britain,Rugby Sevens,Women
ROQUES Tony,Great Britain,Rugby Sevens,
JANIC Bojan,Serbia,Volleyball,Men
JEVTIC Ivica,Serbia,Volleyball,Men
KOLAKOVIC Igor,Serbia,Volleyball,Men
MAJSTOROVIC Neven,Serbia,Volleyball,Men
BUTARBUTAR Eva,Indonesia,Artistic Gymnastics,
BLAGOJEVIC Jelena,Serbia,Volleyball,Women
GUIDETTI Giovanni,Serbia,Volleyball,Women
TUDELA PERRET Matias,Spain,Rugby Sevens,
HERNANDEZ JIMENEZ Francisco de Pau.,Spain,Rugby Sevens,
KOCH Ulla,Belgium,Artistic Gymnastics,
van den HEUVEL Michel,Belgium,Hockey,Men
MALDONADO Oscar,Dominican Republic,Taekwondo,
MATEO BATISTA Ruddy,Dominican Republic,Taekwondo,
LAACHRAOUI Mourad,Belgium,Taekwondo,
MEZIANE Rachid,Belgium,Basketball,Women
BARTON Emilee,Australia,Rugby Sevens,Women
STANNARD James,Australia,Rugby Sevens,Men
MANENTI John,Australia,Rugby Sevens,Men
WALSH Timothy,Australia,Rugby Sevens,Women
BYDWELL Emilie,United States,Rugby Sevens,Women
TEST Zack,United States,Rugby Sevens,Women
FORD Trey,United States,Rugby Sevens,Women
FRIDAY Mike,United States,Rugby Sevens,Men
GREENING Phil,United States,Rugby Sevens,Men
FERREIRA Marcel,Brazil,Artistic Swimming,
KARFUNKELSTEIN Rogerio,Brazil,Artistic Swimming,
SPLITTER Tiago,Brazil,Basketball,Men
HAMANO Yukiya,Japan,Football,
HANEDA Kenji,Japan,Football,
OIWA Go,Japan,Football,Men
CUNHA Thiago,Egypt,Football,
ALBINO Cristiano,Brazil,Artistic Gymnastics,
BISCALCHIN Daniel,Brazil,Artistic Gymnastics,
PORATH Francisco,Brazil,Artistic Gymnastics,
YASHENKO Iryna,Brazil,Artistic Gymnastics,
ROSA Bruna,Brazil,Rhythmic Gymnastics,
FEREZIN Camila,Brazil,Rhythmic Gymnastics,
NAVES Marcia,Brazil,Rhythmic Gymnastics,
PEREIRA Alexandro,Brazil,Rhythmic Gymnastics,
FIGUEIREDO Tatiana,Brazil,Rhythmic Gymnastics,
FUCHS Tracey,United States,Hockey,
PASSMORE David,United States,Hockey,
TELECHEA Javi,United States,Hockey,
MATHEUS Carlos,Brazil,Artistic Swimming,
DOMINGUES Felipe,Brazil,Artistic Swimming,
POSSENTI Fernando,Brazil,Artistic Swimming,
ONHA MARQUES Sergio,Brazil,Artistic Swimming,
FEW Mark,United States,Basketball,
KERR Steve,United States,Basketball,Men
LUE Tyronn,United States,Basketball,Men
SPOELSTRA Erik,United States,Basketball,Men
LAWSON Kara,United States,Basketball,
MILLER Curt,United States,Basketball,
REEVE Cheryl,United States,Basketball,Women
TAYLOR Joni,United States,Basketball,Women
THIBAULT Mike,United States,Basketball,Women
WRIGHT Tanisha,United States,Basketball,
KOLINISAU Ratu Osea,Fiji,Rugby Sevens,Men
ARENHART ALVES Ismael,Brazil,Rugby Sevens,Women
BRODERICK William,Brazil,Rugby Sevens,Women
FERRER Alexander,Brazil,Artistic Swimming,
dos SANTOS Clayton,Brazil,Taekwondo,
RIBEIRO Diego,Brazil,Taekwondo,
NAMAUA Tikiko,Fiji,Rugby Sevens,Women
KLAMBURG ROQUE Paula,Australia,Artistic Swimming,Team
ONO Shoko,Australia,Artistic Swimming,Team
SOARES Mateus Joao Felgueiras,Timor-Leste,Taekwondo,
LUZON Guy,Israel,Football,Men
CHOEN Haim,Israel,Football,
BUTALA-KOVACIC Petra,Serbia,Taekwondo,
JOVIC Dragan,Serbia,Taekwondo,
SAVICEVIC Veljko,Serbia,Taekwondo,
BUCHNIK Victor,Israel,Football,
BILIC Darko,Serbia,Water Polo,Men
CIRIC Stefan,Serbia,Water Polo,Men
STEVANOVIC Uros,Serbia,Water Polo,Men
TAAFFE Robert,Ireland,Taekwondo,
NSILU DILANDU Leroy,Ireland,Taekwondo,
EFTIMOV Aleksandar,North Macedonia,Taekwondo,
ADEL MOSTAFA,Egypt,Football,Men
FUJIKI Mayuko,Spain,Artistic Swimming,Team
JIMENEZ NIETO Cecilia,Spain,Artistic Swimming,Duet
REQUENA PERICAS Judit,Spain,Artistic Swimming,Team
VEGA HERRERO Anna,Spain,Artistic Swimming,
ANDREO GABAN Angel Luis,Spain,Water Polo,Women
APARICIO SUNEN Antonio Francisco,Spain,Water Polo,Men
IVANOV PIRALKOV Svilen,Spain,Water Polo,Men
MARTIN LOZANO David,Spain,Water Polo,Men
OCA GAIA Miguel Angel,Spain,Water Polo,Women
VALLS NART Jordi,Spain,Water Polo,Women
KERTESZNE BORKAI Anita,Hungary,Artistic Gymnastics,
CAMPODONICO Marco,Italy,Artistic Gymnastics,
CASELLA Enrico,Italy,Artistic Gymnastics,
ZHOU Tianke,Lao PDR,Rhythmic Gymnastics,
ALLER CARBALLO Manuel Angel,Spain,Basketball,
CAMPS SAN JOSE Salvador,Spain,Basketball,
FERNANDEZ TARGARONA Isaac,Spain,Basketball,
GARCIA GUADARRAMA Victor Jesus,Spain,Basketball,
GUIL Luis,Spain,Basketball,Men
MENDEZ Miguel,Spain,Basketball,Women
REY Luis,Spain,Basketball,Women
PRADO BRANAS Joaquin,Spain,Basketball,
SANCHEZ CANETE CALVO Angel Luis,Spain,Basketball,Men
SCARIOLO Sergio,Spain,Basketball,Men
URIETA GUTIERREZ Madelen,Spain,Basketball,
CAREY Brian,United States,Artistic Gymnastics,
LANDI Cecile,United States,Artistic Gymnastics,
BRECKENRIDGE Grant,United States,Artistic Gymnastics,
SUN Sonia,United States,Artistic Gymnastics,
GRABA Jess,United States,Artistic Gymnastics,
GAARENSTROOM Jordan,United States,Artistic Gymnastics,
LANDI Laurent,United States,Artistic Gymnastics,
KLIMOUK Natalia,United States,Rhythmic Gymnastics,
CAESAR Syque,United States,Artistic Gymnastics,
MIKULAK Sam,United States,Artistic Gymnastics,
LIUKIN Valeri,United States,Artistic Gymnastics,
BARRIEAU Jocelyn,Canada,Rugby Sevens,Women
HANRATTY Jack,Canada,Rugby Sevens,Women
MONAGHAN Iain,Canada,Rugby Sevens,Women
JOYCE Jenn,Canada,Rugby Sevens,Women
KONE Thierry,Côte d'Ivoire,Taekwondo,
VOLAVOLA Timoci,Fiji,Rugby Sevens,Women
TUIFUA Tevita,Tonga,Rugby Sevens,
OTUMULI Mavae,Tonga,Rugby Sevens,
VAIANGINA Ekitino,Tonga,Rugby Sevens,
LIUTAI Malika,Tonga,Rugby Sevens,
FULI Saiasi,Fiji,Rugby Sevens,Women
TOPPING James,Ireland,Rugby Sevens,Men
TEMPLE-JONES Allan,Ireland,Rugby Sevens,Women
WONG Ka Wing,"Hong Kong, China",Taekwondo,
MICALE Rogerio,Egypt,Football,Men
LERGA Javier,Spain,Football,
SANCHEZ Carlos,Spain,Football,
TOME Montse,Spain,Football,Women
BAYER Steven,Belgium,Hockey,
WHITE Tim,Belgium,Hockey,
LOPEZ ROMERO Victor Hugo,Japan,Handball,Men
ORTEGA PEREZ Antonio Carlos,Japan,Handball,Men
ROCHA de REZENDE Bernardo,Brazil,Volleyball,Men
RIBAS Giuliano,Brazil,Volleyball,Men
LAGES GUIMARAES Jose Roberto,Brazil,Volleyball,Women
DO REGO BARROS JUNIOR Paulo,Brazil,Volleyball,Women
LEONALDO Roberley Luiz,Brazil,Volleyball,Men
TABACH Ricardo,Brazil,Volleyball,Men
COPPINI FERNANDES Wagner Luiz,Brazil,Volleyball,Women
KEET Marcelle,South Africa,Hockey,
BONNET Giles,South Africa,Hockey,
GIL Carlos,Panama,Artistic Gymnastics,
LAWRENCE Natalie,New Zealand,Football,
HERST Jen,Canada,Football,
MANDER Jasmine,Canada,Football,
PRIESTMAN Bev,Canada,Football,Women
SPENCE Andy,Canada,Football,
PARK Jae,Canada,Taekwondo,
THORNTON Daniel,Canada,Taekwondo,
LIMA Brian,Samoa,Rugby Sevens,Men
PARADELO David,Canada,Water Polo,Women
POSTERIVO Stefano,Canada,Water Polo,Women
CAMPBELL Cora,Canada,Water Polo,Women
IGLESIAS Rodrigo,Brazil,Football,
ALCANTARA Edson,Brazil,Football,
ELIAS Arthur,Brazil,Football,Women
LALOMILO Faamaoni,Samoa,Rugby Sevens,Men
CIRKOVIC Vedran,Australia,Water Polo,Men
CHERNETSKA Nataliya,Greece,Artistic Swimming,Duet
KAMMENOU Alexia Anna,Greece,Water Polo,Women
LEMPESIS Xenofon,Greece,Water Polo,Women
PYRPYRIS Anastasios,Greece,Water Polo,Women
SCHIZAS Anastasios,Greece,Water Polo,Men
VLACHOS Theodoros,Greece,Water Polo,Men
KANTZOURIS Ilias,Greece,Basketball,Men
SPANOULIS Vasilis,Greece,Basketball,Men
RAFTIS Dimitrios,Greece,Artistic Gymnastics,
JENNINGS Stephen,EOR,Taekwondo,
FJELLSTROM Jens,Australia,Football,Women
ANDREATTA Mel,Australia,Football,Women
GUSTAVSSON Tony,Australia,Football,Women
van ECK Richard,Netherlands,Water Polo,Women
DOUDESIS Eva,Netherlands,Water Polo,Women
MOGHANLOU Bijan,Egypt,Taekwondo,
SICOT David Patrick,Lebanon,Taekwondo,
SEKTIOUI Tarik,Morocco,Football,Men
HADJI Youssouf,Morocco,Football,
BADAWI Ghanem,Syria,Artistic Gymnastics,
van der VEEN Jose,Netherlands,Artistic Gymnastics,
WEVERS Vincent,Netherlands,Artistic Gymnastics,
den UIJL Kevin,Netherlands,Artistic Gymnastics,
JACOBS Jeroen,Netherlands,Artistic Gymnastics,
KLEUSKENS Marcel,Netherlands,Artistic Gymnastics,
KNIBBELER Daniel,Netherlands,Artistic Gymnastics,
van MELDERT Dirk Jan,Netherlands,Artistic Gymnastics,
CLARIJS Ricardo,Netherlands,Handball,Women
JOHANSSON Per,Netherlands,Handball,Women
GOUTSEVA Anastasia,Greece,Artistic Swimming,Duet
SOKOLOVA Natalia,Cyprus,Rhythmic Gymnastics,
OGEYINGBO Ayodeji,Nigeria,Basketball,
DERAEDT Laurent,Morocco,Football,
LESZNER Joe,Canada,Archery,
TICHELMAN Thomas,Netherlands,Hockey,
van ASS Paul,Netherlands,Hockey,
DELMEE Jeroen,Netherlands,Hockey,
VERBOOM Eric,Netherlands,Hockey,
ALIYEVA Kamilla,Azerbaijan,Rhythmic Gymnastics,
VILYAYEVA Yevgeniya,Azerbaijan,Rhythmic Gymnastics,
VASILEVA Siyana,Azerbaijan,Rhythmic Gymnastics,
GULIYEV Kamil,Azerbaijan,Rhythmic Gymnastics,
KARIMLI Akif,Azerbaijan,Rhythmic Gymnastics,
JAUMA CAYUELA Esther,Netherlands,Artistic Swimming,Duet
GIE Cheslyn,South Africa,Hockey,
NTULI Siphesihle,South Africa,Hockey,
GOMEZ Ibai,Dominican Republic,Football,Men
RAMOS SANCHEZ Antonio,Côte d'Ivoire,Taekwondo,
AMOREBIETA Fernando,Dominican Republic,Football,
BRITEZ Cristhian,Dominican Republic,Football,
BALAN Adrian,Canada,Artistic Gymnastics,
COWAN Lisa,Canada,Artistic Gymnastics,
KIKUCHI David,Canada,Artistic Gymnastics,
van HOOF Ed,Canada,Artistic Gymnastics,
FALSETTA Ross,Great Britain,Artistic Gymnastics,
DENG Ajou,South Sudan,Basketball,
WIGNALL Rachel,Great Britain,Artistic Gymnastics,
MEIJER Eric,Netherlands,Volleyball,Women
KOSLOWSKI Felix,Netherlands,Volleyball,Women
FERRER CUTINO Gil,Netherlands,Volleyball,Women
IVEY Royal,South Sudan,Basketball,Men
KOUDI Mandela,South Sudan,Basketball,
CHIEJINE Ann,Nigeria,Football,
KULESZA Kasia,Canada,Artistic Swimming,Duet
MORGAN Kerri,Canada,Artistic Swimming,Duet
VOLOSHYNA Anna,Canada,Artistic Swimming,Team
YAKHNO Yelyzaveta,Canada,Artistic Swimming,Team
SAWADOGO Rasmane,Burkina Faso,Taekwondo,
BAUR Steve,Canada,Basketball,Women
BJORKGREN Nate,Canada,Basketball,Men
CLARKE Carly,Canada,Basketball,
FERNANDEZ Jordi,Canada,Basketball,Men
LAPENA Victor,Canada,Basketball,Women
MITCHELL Nathaniel,Canada,Basketball,
N'DONG Boniface,Canada,Basketball,
PAGE Murriel,Canada,Basketball,
QUINN Noelle,Canada,Basketball,
DENG Luol,South Sudan,Basketball,Men
CASTANEDA Allen Aldrin,Philippines,Artistic Gymnastics,
HRYBANOV Andrii,Israel,Artistic Gymnastics,
GRIFFETH Garrett Stephen,Philippines,Artistic Gymnastics,
ABAD EXPOSITO Iker Miquel,Ireland,Taekwondo,
WALDRUM Randy,Nigeria,Football,Women
DIAWARA Kaba,Guinea,Football,Men
CAPELLI Claudio,Switzerland,Artistic Gymnastics,
GUELZEC Laurent,Switzerland,Artistic Gymnastics,
KISTLER Frank,Switzerland,Artistic Gymnastics,
MUNOZ BENITEZ Fernando,Egypt,Volleyball,Men
KIM Myong Hwa,DPR Korea,Artistic Gymnastics,
TRAJKOVIC Ivan Konrad,Slovenia,Taekwondo,
PAVLIC Aljaz,Slovenia,Handball,Women
MIJATOVIC Branka,Slovenia,Handball,Women
ADZIC Dragan,Slovenia,Handball,Women
DROZHANOVA Elena,Slovenia,Rhythmic Gymnastics,
CRETU Gheorghe,Slovenia,Volleyball,Men
DIVKOVIC Goran,Slovenia,Taekwondo,
ZVIZEJ Luka,Slovenia,Handball,Men
de CECCO Matteo,Slovenia,Volleyball,Men
RETELJ Natasa,Slovenia,Artistic Gymnastics,
ZORMAN Uros,Slovenia,Handball,Men
KEDACIC Zoran,Slovenia,Volleyball,Men
MUGANGUZI Wani,Nigeria,Basketball,Women
FITZGERALD David,Ireland,Hockey,
BAM Jenna,South Africa,Rugby Sevens,
FALAHATGAR ETMINANI Davoud,Bulgaria,Taekwondo,
PETROVIC Aleksandar,Brazil,Basketball,Men
GORIATCHKINE Ivan,Philippines,Artistic Gymnastics,
BASILE Leonardo,EOR,Taekwondo,
VICTOR John,Nigeria,Taekwondo,
DONNELLY Peter,Ireland,Rugby Sevens,Men
CARSON Luke,Ireland,Artistic Gymnastics,
GORBACHEV Stepan,Ukraine,Artistic Gymnastics,
MARAJAN Sabit,South Sudan,Taekwondo,
DIAWARA Fousseni,Guinea,Football,Men
CAUKAUNIVALU Setefano,Fiji,Rugby Sevens,Men
GRANDES Pablo,Iraq,Football,
FONG Lerissa,Samoa,Rugby Sevens,
POMARE Sapani,Samoa,Rugby Sevens,
FAALUPEGA Avii,Samoa,Rugby Sevens,
DAVID EP CHIRILCENCO Georgeta,Algeria,Artistic Gymnastics,
ELZEFTAWEY Tarek,Egypt,Volleyball,Men
GAARENSTROOM Jordan Jon,Syria,Artistic Gymnastics,
PROST KOSIR Primoz,Slovenia,Handball,Men
TRAORE Alioune,Mali,Taekwondo,
COCCIA Kristina,Haiti,Artistic Gymnastics,
KAMKASOUMPHOU Ekvara,Mali,Taekwondo,
KHAJAVI Naeima,Egypt,Taekwondo,
LAWSON Franck,Burkina Faso,Taekwondo,
Mc DONALD Janelle Leigh,Philippines,Artistic Gymnastics,
QUESNEL Yannick,Guinea,Football,Men
TANSKANEN Juha Petteri,Syria,Artistic Gymnastics,
CHOUBA Jaouad,Guinea-Bissau,Taekwondo,
HERDEIRO Alvaro Francisco,Brazil,Handball,Women
MAROJA Gabriel Augusto,Brazil,Handball,Women
ALONSO BERNARDO Jessica,Spain,Handball,Women
LARSSON Thomas Erik Daniel,Netherlands,Handball,Women
CAROU Gonzalo,Argentina,Handball,Men
CAZON Guillermo,Argentina,Handball,Men
CAAMANO Juan,Spain,Handball,Men
TORRESCUSA Ignacio,Spain,Handball,Men
GJERDE Joar,Norway,Handball,Women
BONDAR Vladyslav,Burkina Faso,Taekwondo,
CICHELLO Juan Manuel,Italy,Volleyball,Women
VASSILIADES Emmanuel,Greece,Water Polo,Men
